Entity,Code,Year,Deaths - Cardiovascular diseases,Calories from animal protein,Calories from plant protein,Calories from fat,Calories from carbohydrates,Other Caloric Sources (kCal per person/day),Calories from Alcoholic Beverages (kCal person/day,Calories from Sugar (kCal per person/day),Calories from Oils & Fats (kCal per person/day),Calories from Meat (kCal per person/day),Calories from Dairy & Eggs (kCal per person/day),Calories from Fruit and Vegetables (kCal per person/day),Starchy Roots (kCal per person/day),Pulses (kCal per person/day),Cereals and Grains (kCal per person/day),"Meat food supply quantity (kg/capita/yr)",Prevalence - Neoplasms - Sex: Both - Age: Age-standardized (Percent),Deaths - Stroke - Sex: Both - Age: Age-standardized (Rate)
Brazil,BRA,1990,355.3500997,117.76,145.04,701.37,1754.83,14,60,475,433,224,178,133,153,127,922,49.41,0.546684137,137.8129343
Brazil,BRA,1991,337.7328938,123.84,149.24,740.79,1763.13,11,68,468,452,244,188,140,150,144,912,52.64,0.556808914,130.7107775
Brazil,BRA,1992,328.95866,123.56,149.64,727.74,1770.06,9,61,492,439,246,188,139,138,147,912,53.68,0.571266514,127.1096858
Brazil,BRA,1993,327.9623731,125.4,152.8,713.34,1782.46,11,60,496,424,252,182,127,135,157,930,55.3,0.58766556,126.2690515
Brazil,BRA,1994,316.7875109,134.16,155.48,719.73,1808.63,11,66,510,417,270,189,126,148,163,918,60.57,0.599946687,121.1263429
Brazil,BRA,1995,305.2426129,151.96,144.64,730.98,1784.42,11,77,518,392,311,214,149,153,125,862,69.02,0.61205889,115.5976852
Brazil,BRA,1996,297.386296,155.56,158.92,739.8,1785.72,12,73,505,397,315,218,143,115,180,882,70.25,0.625501828,111.3007023
Brazil,BRA,1997,285.1369944,156.04,150.72,770.76,1776.48,14,77,497,419,328,215,157,125,141,881,71.92,0.639211483,105.9683131
Brazil,BRA,1998,278.7206004,154.8,153.04,782.19,1762.97,16,75,490,425,337,213,141,124,144,888,72.22,0.655461966,102.9444086
Brazil,BRA,1999,270.0784798,161.52,155.64,870.3,1677.54,17,72,386,497,356,215,153,128,145,896,76.44,0.671168987,99.10405526
Brazil,BRA,2000,260.6188415,165.08,152.6,897.12,1665.2,19,85,399,515,367,216,147,134,155,843,78.98,0.682737819,95.11892112
Brazil,BRA,2001,253.7655481,160.72,158.24,894.42,1678.62,18,86,391,520,358,211,130,132,155,891,76.38,0.692136483,92.29278153
Brazil,BRA,2002,248.2611354,166.28,159.04,907.2,1694.48,18,79,389,521,370,221,154,135,150,890,78.69,0.70040258,89.85862116
Brazil,BRA,2003,243.3784108,165.96,171.72,932.67,1796.65,19,75,410,533,381,217,147,127,161,997,79.66,0.709370549,87.5707206
Brazil,BRA,2004,237.9664114,169.32,165.72,946.62,1800.34,15,81,418,545,386,223,149,134,143,988,81.21,0.715646316,84.91872744
Brazil,BRA,2005,227.7234128,163.32,169,921.6,1824.08,19,81,419,544,348,231,145,140,144,1007,74.52,0.717903312,80.66056792
Brazil,BRA,2006,223.2779039,169.6,167.96,947.52,1810.92,16,82,420,549,369,237,156,142,153,972,77.9,0.724418778,78.58403636
Brazil,BRA,2007,218.3619297,172.84,168.24,963,1801.92,20,83,418,563,383,231,157,143,153,955,80.54,0.730460953,76.30517965
Brazil,BRA,2008,214.1492902,183.6,170.72,1000.26,1823.42,19,88,424,580,406,247,161,145,155,953,86.18,0.736097597,74.31949036
Brazil,BRA,2009,210.6504588,185.96,168.2,994.68,1817.16,17,87,423,566,404,260,165,133,154,957,85.21,0.742205296,72.65720551
Brazil,BRA,2010,206.9642096,194.8,171.72,1016.91,1846.57,18,97,428,568,426,272,177,136,154,954,89.47,0.747265439,70.86318849
Brazil,BRA,2011,203.0646071,203.96,174.04,1041.48,1866.52,19,100,427,578,441,286,186,140,155,954,92.97,0.751989367,69.0716487
Brazil,BRA,2012,196.2723236,205.76,168.56,1051.02,1822.66,17,99,429,583,448,287,159,129,145,952,93.53,0.754127082,66.260337
Brazil,BRA,2013,191.657343,210.36,169.6,1059.75,1823.29,17,98,430,576,466,285,149,121,152,969,97.58,0.755160649,64.20763105
Canada,CAN,1990,236.5763398,233.36,150.88,1144.98,1493.78,23,126,427,730,383,306,204,126,37,661,91.96,4.158260125,47.65309874
Canada,CAN,1991,229.9397253,229.36,155.4,1173.96,1483.28,24,122,422,765,379,297,193,115,69,656,90.99,4.184591782,46.86494017
Canada,CAN,1992,224.4133834,226.88,156.88,1191.42,1516.82,23,124,441,771,385,296,200,135,66,651,92.72,4.214574608,46.3322352
Canada,CAN,1993,222.0132653,224.52,158.72,1181.7,1557.06,20,124,460,766,386,288,204,133,59,682,91.42,4.248943374,46.46084523
Canada,CAN,1994,217.4528347,229,169.2,1197,1613.8,26,128,464,775,397,288,208,135,72,716,94.94,4.280265321,45.98468222
Canada,CAN,1995,212.8869822,227.36,164.48,1219.05,1597.11,21,130,464,801,394,286,208,134,60,710,93.73,4.307254307,45.31906598
Canada,CAN,1996,207.4435612,225.44,169.32,1227.51,1629.73,25,125,467,819,385,282,206,140,58,745,91.85,4.341227166,44.50125956
Canada,CAN,1997,202.0225498,224.08,178.08,1281.06,1703.78,27,126,480,868,386,271,210,143,61,815,92.84,4.373904987,43.73094217
Canada,CAN,1998,196.263501,234.88,178.28,1334.52,1711.32,32,130,474,901,410,280,212,141,51,828,98.05,4.416241348,42.61464857
Canada,CAN,1999,189.0110276,240.44,187.96,1321.65,1748.95,33,135,451,879,427,275,216,134,73,876,102.05,4.451176533,41.22080975
Canada,CAN,2000,180.6278451,241.44,182.84,1327.68,1754.04,31,139,467,879,425,289,208,131,74,863,101.27,4.4695759,39.71356183
